date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
01-Dec-21,Nagaland,two wheelers,0,353
01-Dec-21,Nagaland,four wheelers,0,540
01-Dec-21,Tripura,four wheelers,0,352
01-Jan-22,Andaman & Nicobar Island,two wheelers,0,336
01-Jan-22,Andaman & Nicobar Island,four wheelers,0,90
01-Jan-22,Arunachal Pradesh,two wheelers,0,950
01-Jan-22,Arunachal Pradesh,four wheelers,0,766
01-Jan-22,Assam,four wheelers,0,5550
01-Jan-22,DNH and DD,four wheelers,0,358
01-Jan-22,Jammu and Kashmir,four wheelers,0,3963
01-Jan-22,Ladakh,four wheelers,0,150
01-Jan-22,Manipur,four wheelers,0,687
01-Jan-22,Meghalaya,two wheelers,0,1112
01-Jan-22,Meghalaya,four wheelers,0,1063
01-Jan-22,Mizoram,two wheelers,0,1387
01-Jan-22,Mizoram,four wheelers,0,311
01-Jan-22,Nagaland,two wheelers,0,410
01-Jan-22,Nagaland,four wheelers,0,722
01-Jan-22,Puducherry,four wheelers,0,758
01-Jan-22,Tripura,four wheelers,0,394
01-Feb-22,Andaman & Nicobar Island,two wheelers,0,388
01-Feb-22,Andaman & Nicobar Island,four wheelers,0,112
01-Feb-22,Arunachal Pradesh,two wheelers,0,858
01-Feb-22,Arunachal Pradesh,four wheelers,0,671
01-Feb-22,Ladakh,two wheelers,0,15
01-Feb-22,Ladakh,four wheelers,0,44
01-Feb-22,Manipur,four wheelers,0,834
01-Feb-22,Meghalaya,two wheelers,0,1145
01-Feb-22,Mizoram,two wheelers,0,1599
01-Feb-22,Mizoram,four wheelers,0,354
01-Feb-22,Nagaland,two wheelers,0,504
01-Feb-22,Nagaland,four wheelers,0,773
01-Feb-22,Puducherry,four wheelers,0,622
01-Feb-22,Tripura,four wheelers,0,340
01-Mar-22,Andaman & Nicobar Island,two wheelers,0,383
01-Mar-22,Arunachal Pradesh,two wheelers,0,1111
01-Mar-22,Arunachal Pradesh,four wheelers,0,679
01-Mar-22,Ladakh,two wheelers,0,49
01-Mar-22,Ladakh,four wheelers,0,49
01-Mar-22,Manipur,four wheelers,0,717
01-Mar-22,Meghalaya,two wheelers,0,1687
01-Mar-22,Meghalaya,four wheelers,0,1104
01-Mar-22,Mizoram,two wheelers,0,1848
01-Mar-22,Mizoram,four wheelers,0,413
01-Mar-22,Nagaland,two wheelers,0,541
01-Mar-22,Nagaland,four wheelers,0,632
01-Mar-22,Tripura,four wheelers,0,484
01-Apr-22,Andaman & Nicobar Island,two wheelers,0,407
01-Apr-22,Arunachal Pradesh,two wheelers,0,1063
01-Apr-22,Arunachal Pradesh,four wheelers,0,824
01-Apr-22,Ladakh,two wheelers,0,351
01-Apr-22,Ladakh,four wheelers,0,105
01-Apr-22,Mizoram,two wheelers,0,1530
01-Apr-22,Mizoram,four wheelers,0,323
01-Apr-22,Nagaland,four wheelers,0,723
01-Apr-22,Tripura,four wheelers,0,448
01-May-22,Andaman & Nicobar Island,two wheelers,0,358
01-May-22,Andaman & Nicobar Island,four wheelers,0,110
01-May-22,Arunachal Pradesh,two wheelers,0,1241
01-May-22,Arunachal Pradesh,four wheelers,0,965
01-May-22,Ladakh,two wheelers,0,419
01-May-22,Ladakh,four wheelers,0,322
01-May-22,Manipur,four wheelers,0,644
01-May-22,Meghalaya,two wheelers,0,1780
01-May-22,Mizoram,four wheelers,0,397
01-May-22,Nagaland,four wheelers,0,630
01-May-22,Tripura,four wheelers,0,359
01-Jun-22,Andaman & Nicobar Island,two wheelers,0,423
01-Jun-22,Andaman & Nicobar Island,four wheelers,0,115
